global	globální
demand	poptávka,požadavek
speech	řeč,proslov 
character	charakter
personal	osobní
january	leden
art	umění
eat	jíst
software	software
organization	organizace
north	sever,severní
media	média
something	něco
important	důležitý
clear	jasný,čistý
simple	jednoduchý
person	osoba
official	úřední,oficiální
away	pryč
possible	možný
mark	označit,oznámkovat,značka
heart	srdce
view	pohled,dívat se
united	spojený,jednotný
thursday	čtvrtek
step	krok,schod
sign	znak,podpis,podepsat
security	bezpečnost,zabezpečení
income	příjem
fire	oheň
table	stůl,deska,tabule
shore	břeh,pobřeží
share	podíl,rozdělit,sdílet
pay	plat,platit
rate	sazba,míra,rychlost
institute	institut,organizace
beast	bestie,šelma
popular	populární
agency	agentura,činnost
thousand	tisíc
rather	raději,poněkud,spíše
produce	produkovat,vytvořit,výrobek
behind	za,vzadu
already	již,už
ring	prsten,zvonit
poor	chudý,ubohý
hospital	nemocnice
fact	fakt,skutek,skutečnost
band	skupina,pásmo
whatever	cokoliv
previous	předchozí
detail	detail
wanted	chtěný,hledaný,kýžený
start	start,začátek
property	vlastnost,majetek
main	hlavní,vrchní
black	černá
tell	říci,říct
remain	zůstat
indeed	vlastně
hit	úder,uhodit,hit
department	oddělení
care	pečovat,starat se,péče
brother	bratr
agreement	smlouva,souhlas
line	linka,linie
grain	zrno,vlákno,obilí
bid	nabídka
crystal	krystal
boxer	boxer
palace	palác
letter	písmeno,dopis
boy	chlapec,hoch
project	projekt,návrh,navrhnout
application	aplikace
state	stav,společenská třída,stát
sex	pohlaví,sex
forecast	předpověď
india	indie
single	jednotlivý,svobodný
nature	příroda,povaha
song	píseň
gone	pryč
real	skutečný
further	další,následující
front	přední,čelit
fourth	čtvrtý
eight	osm
secret	tajný,tajemství
quite	zcela,docela,celkem
political	politický
free	volný,svobodný,zdarma
central	centrální,ústřední
size	velikost,rozměr
